url,status,canonical,canonical_status,canonical_final_url,self_canonical,redirect_hops,consistent_with_sitemap,consistent_with_internal_links,intentional,severity,finding
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/turkey/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/turkey/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/turkey,no,1,yes,unknown,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/sweden,200,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/sweden/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/sweden,no,0,yes,unknown,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/uae,200,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/uae/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/uae,no,0,yes,unknown,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-kingdom,200,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-kingdom/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-kingdom,no,0,yes,unknown,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/uae/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/uae/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/uae,no,1,yes,unknown,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-states,200,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-states/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-states,no,0,yes,unknown,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-kingdom/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-kingdom/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-kingdom,no,1,yes,unknown,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-states/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-states/,308,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/united-states,no,1,yes,unknown,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/australia,200,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/australia/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/australia,no,0,yes,unknown,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/argentina,200,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/argentina/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/argentina,no,0,yes,unknown,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/argentina/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/argentina/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/argentina,no,1,yes,unknown,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/australia/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/australia/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/australia,no,1,yes,unknown,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/brazil,200,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/brazil/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/brazil,no,0,yes,unknown,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/brazil/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/brazil/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/brazil,no,1,yes,unknown,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/canada,200,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/canada/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/canada,no,0,yes,unknown,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/canada/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/canada/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/canada,no,1,yes,unknown,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/chile/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/chile/,308,https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/chile,no,1,yes,unknown,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
