source_url,source_context,status,destination,final_destination,hops,internally_linked,in_sitemap,canonical_target,expected,severity,finding
https://www.expatcopilot.com/editorial-policy/,sitemap,308,https://www.expatcopilot.com/editorial-policy,https://www.expatcopilot.com/editorial-policy,1,yes,yes,https://www.expatcopilot.com/editorial-policy/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/netherlands/citizenship/naturalization,redirect_inventory,308,https://www.expatcopilot.com/netherlands/citizenship/dutch-citizenship/,https://www.expatcopilot.com/netherlands/citizenship/dutch-citizenship,2,no,no,https://www.expatcopilot.com/netherlands/citizenship/dutch-citizenship/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/culture/dutch-culture,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/dutch-culture/,https://www.expatcopilot.com/netherlands/life/dutch-culture,2,no,no,https://www.expatcopilot.com/netherlands/life/dutch-culture/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/culture/dutch-birthday-traditions,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/dutch-birthday-traditions/,https://www.expatcopilot.com/netherlands/life/dutch-birthday-traditions,2,no,no,https://www.expatcopilot.com/netherlands/life/dutch-birthday-traditions/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/cost-of-living-calculator,redirect_inventory,308,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator,2,no,no,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/culture/dutch-directness-at-work,redirect_inventory,308,https://www.expatcopilot.com/netherlands/jobs/dutch-directness-at-work/,https://www.expatcopilot.com/netherlands/jobs/dutch-directness-at-work,2,yes,no,https://www.expatcopilot.com/netherlands/jobs/dutch-directness-at-work/,yes,P2,internal_link_targets_redirect_alias (config redirect)
https://www.expatcopilot.com/netherlands/culture/dutch-etiquette,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/dutch-etiquette/,https://www.expatcopilot.com/netherlands/life/dutch-etiquette,2,no,no,https://www.expatcopilot.com/netherlands/life/dutch-etiquette/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/culture/dutch-humour,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/dutch-humour/,https://www.expatcopilot.com/netherlands/life/dutch-humour,2,no,no,https://www.expatcopilot.com/netherlands/life/dutch-humour/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/culture/dutch-workplace-culture,redirect_inventory,308,https://www.expatcopilot.com/netherlands/jobs/dutch-workplace-culture/,https://www.expatcopilot.com/netherlands/jobs/dutch-workplace-culture,2,no,no,https://www.expatcopilot.com/netherlands/jobs/dutch-workplace-culture/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/culture/dutch-holidays-and-traditions,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/dutch-holidays-and-traditions/,https://www.expatcopilot.com/netherlands/life/dutch-holidays-and-traditions,2,no,no,https://www.expatcopilot.com/netherlands/life/dutch-holidays-and-traditions/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/culture/making-dutch-friends,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/making-dutch-friends/,https://www.expatcopilot.com/netherlands/life/making-dutch-friends,2,no,no,https://www.expatcopilot.com/netherlands/life/making-dutch-friends/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/culture/dutch-social-norms,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/dutch-social-norms/,https://www.expatcopilot.com/netherlands/life/dutch-social-norms,2,no,no,https://www.expatcopilot.com/netherlands/life/dutch-social-norms/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/double-taxation-netherlands,redirect_inventory,308,https://www.expatcopilot.com/netherlands/taxes/double-taxation-netherlands/,https://www.expatcopilot.com/netherlands/taxes/double-taxation-netherlands,2,no,no,https://www.expatcopilot.com/netherlands/taxes/double-taxation-netherlands/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/family/child-benefit-netherlands,redirect_inventory,308,https://www.expatcopilot.com/netherlands/family/child-benefits-netherlands/,https://www.expatcopilot.com/netherlands/family/child-benefits-netherlands,2,no,no,https://www.expatcopilot.com/netherlands/family/child-benefits-netherlands/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/culture/inburgering-exams,redirect_inventory,308,https://www.expatcopilot.com/netherlands/integration/inburgering/,https://www.expatcopilot.com/netherlands/integration/inburgering,2,no,no,https://www.expatcopilot.com/netherlands/integration/inburgering/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/dutch-citizenship-netherlands,redirect_inventory,308,https://www.expatcopilot.com/netherlands/citizenship/dutch-citizenship/,https://www.expatcopilot.com/netherlands/citizenship/dutch-citizenship,2,no,no,https://www.expatcopilot.com/netherlands/citizenship/dutch-citizenship/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/health/tools/healthcare-allowance-estimator,redirect_inventory,308,https://www.expatcopilot.com/netherlands/taxes/tools/healthcare-allowance-estimator/,https://www.expatcopilot.com/netherlands/taxes/tools/healthcare-allowance-estimator,2,no,no,https://www.expatcopilot.com/netherlands/taxes/tools/healthcare-allowance-estimator/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/housing/tools/utilities-services-comparison-tool,redirect_inventory,308,https://www.expatcopilot.com/netherlands/living/tools/utilities-services-comparison/,https://www.expatcopilot.com/netherlands/living/tools/utilities-services-comparison,2,no,no,https://www.expatcopilot.com/netherlands/living/tools/utilities-services-comparison/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/language/inburgering-exams,redirect_inventory,308,https://www.expatcopilot.com/netherlands/integration/inburgering/,https://www.expatcopilot.com/netherlands/integration/inburgering,2,no,no,https://www.expatcopilot.com/netherlands/integration/inburgering/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/life/making-friends,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/making-dutch-friends/,https://www.expatcopilot.com/netherlands/life/making-dutch-friends,2,no,no,https://www.expatcopilot.com/netherlands/life/making-dutch-friends/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/living/community-basics,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/community-basics-netherlands/,https://www.expatcopilot.com/netherlands/life/community-basics-netherlands,2,no,no,https://www.expatcopilot.com/netherlands/life/community-basics-netherlands/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/living/culture-etiquette,redirect_inventory,308,https://www.expatcopilot.com/netherlands/life/dutch-etiquette/,https://www.expatcopilot.com/netherlands/life/dutch-etiquette,2,yes,no,https://www.expatcopilot.com/netherlands/life/dutch-etiquette/,yes,P2,internal_link_targets_redirect_alias (config redirect)
