url,page_type,cluster,parent_hub,href_inlinks,unique_inlink_pages,contextual_inlinks,navigation_inlinks,outlinks,crawl_depth_home,crawl_depth_hub,orphan,near_orphan,links_to_redirects,links_to_404,intent,severity,notes
https://www.expatcopilot.com/netherlands/citizenship/tools/,tool_calculator,citizenship_pr,https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,6,6,6,0,54,2,1,no,no,1,2,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=6; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/citizenship/tools/permanent-residence-eligibility-calculator/
https://www.expatcopilot.com/netherlands/citizenship/tools/dual-citizenship-awareness-tool/,tool_calculator,citizenship_pr,https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,3,3,3,0,53,2,2,no,no,1,2,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=4; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/citizenship/dutch-citizenship/
https://www.expatcopilot.com/netherlands/citizenship/tools/dutch-citizenship-timeline-calculator/,tool_calculator,citizenship_pr,https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,4,4,4,0,53,2,2,no,no,1,2,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=4; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/citizenship/tools/dual-citizenship-awareness-tool/
https://www.expatcopilot.com/netherlands/citizenship/tools/permanent-residence-eligibility-calculator/,tool_calculator,citizenship_pr,https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,5,5,5,0,52,2,1,no,no,1,2,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=5; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/citizenship/tools/dual-citizenship-awareness-tool/
https://www.expatcopilot.com/netherlands/culture/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,17,17,17,0,68,3,3,no,no,1,2,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=34; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/dutch-social-calendar/
https://www.expatcopilot.com/netherlands/culture/communication-style/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,0,0,0,0,51,,,yes,no,3,3,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=3; outlinks_to_404=3; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/culture/dutch-language-basics/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,2,2,2,0,51,2,2,no,no,1,3,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=3; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/living/language/
https://www.expatcopilot.com/netherlands/culture/dutch-social-calendar/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,2,2,2,0,50,5,5,no,no,1,3,INDEXABLE,P2,>3 clicks from cluster hub (depth_hub=5); deep from NL hub (depth_home=5); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=2; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/national-holidays/
https://www.expatcopilot.com/netherlands/culture/dutch-traditions/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,3,3,3,0,51,4,4,no,no,1,3,INDEXABLE,P2,>3 clicks from cluster hub (depth_hub=4); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=4; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/sinterklaas/
https://www.expatcopilot.com/netherlands/culture/family-and-school-culture/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,5,5,5,0,51,4,3,no,no,1,3,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=6; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/sinterklaas/
